State,District,Market,Variety,Group,Arrivals_(Tonnes),Min_Price_(Rs./Quintal),Max_Price_(Rs./Quintal),Modal_Price_(Rs./Quintal),Reported_Date
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.60,750,1000,875,03 May 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,10.60,1000,1500,1250,02 May 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.40,1000,1500,1250,01 May 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,15.80,1000,1500,1250,30 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.30,1000,1500,1250,29 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,15.50,1000,1500,1250,27 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,11.90,1000,1500,1250,26 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,13.10,1000,1500,1250,25 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,9.60,1500,2000,1750,24 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,8.60,1000,1500,1250,22 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,14.40,1000,1500,1250,20 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,14.10,1000,1500,1250,19 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,10.70,1000,1500,1250,16 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,10.90,1000,1500,1250,13 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,8.00,1000,1500,1250,12 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.20,1000,1500,1250,09 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,17.40,1000,1500,1250,08 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,10.80,1000,1500,1250,06 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,11.00,1000,1500,1250,05 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,9.60,1000,1500,1250,04 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,11.30,500,1000,750,03 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,9.10,500,1000,750,02 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.20,1000,1500,1250,01 Apr 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.70,1000,1500,1250,30 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,14.90,1000,1500,1250,28 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,10.60,1000,1500,1250,27 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,12.20,1500,2000,1750,26 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,13.80,1500,2000,1750,23 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,13.20,1500,2000,1750,22 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,13.50,1500,2000,1750,21 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,16.70,1500,2000,1750,20 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,14.20,1500,2000,1750,19 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,11.70,1500,2000,1750,18 Mar 2024
Gujarat,Surendranagar,Vadhvan,Tomato,Vegetables,11.80,1500,2000,1750,16 Mar 2024
